Designator Value Package PosX PosY Angle Side
C1 10uF CAPC2012X110 10.700 12.200 270 Top
C2 10uF CAPC1005X60 15.600 14.700 180 Top
C3 4.7uF CAPC1005X60 15.600 15.800 180 Top
C4 4.7uF CAPC1005X60 4.850 22.718 270 Top
C5 10uF CAPC1608X85 47.450 11.450 90 Top
C6 DNM CAPC1005X60 4.850 28.550 270 Top
C7 DNM CAPC1005X60 6.125 28.550 270 Top
C8 DNM CAPC1005X60 4.850 30.475 90 Top
C9 DNM CAPC1005X60 6.125 30.450 90 Top
C10 0.1uF CAPC1005X60 8.250 16.500 0 Top
C11 4.7uF CAPC1005X60 17.000 21.400 270 Top
C12 4.7uF CAPC1005X60 18.900 19.600 0 Top
C13 0.1uF CAPC1005X60 19.700 21.490 270 Top
C14 4.7uF C0402 42.900 10.000 180 Top
C15 22uF C0805 16.525 9.850 270 Top
C16 4.7uF C0402 42.500 14.200 0 Top
C17 22pF C0402 18.250 12.700 270 Top
C18 22uF C0805 21.550 13.100 180 Top
C19 22uF C0805 21.550 14.950 180 Top
C20 4.7uF C0402 45.700 19.550 180 Top
C21 4.7uF C0402 45.700 22.250 180 Top
C22 0.1uF C0402 21.300 26.900 90 Top
C23 0.1uF C0402 22.500 26.900 90 Top
C24 0.1uF CAPC1005X60 24.650 26.900 90 Top
C25 10uF CAPC1608X85 36.400 25.900 90 Top
C26 10uF CAPC1608X85 37.800 25.900 90 Top
C27 0.1uF CAPC1005X60 35.100 26.200 90 Top
C28 1000pF C0402 47.400 36.450 90 Top
C29 0.1uF CAPC1005X60 51.350 23.100 180 Top
C30 0.1uF CAPC1005X60 46.400 26.100 90 Top
C31 10uF CAPC1608X85 43.700 25.800 90 Top
C32 0R C0402 47.900 34.950 180 Top
C33 0R C0402 48.000 29.750 180 Top
C34 10uF CAPC1608X85 45.100 25.800 90 Top
C35 0R C0402 49.200 32.950 180 Top
C36 0R C0402 49.000 27.750 180 Top
C37 0.1uF CAPC1005X60 47.350 22.900 90 Top
C38 0.1uF CAPC1005X60 30.300 24.200 0 Top
C39 10uF CAPC1608X85 30.000 25.500 0 Top
C40 0.1uF CAPC1005X60 27.900 27.000 90 Top
C41 4.7uF CAPC1005X60 20.200 17.000 270 Top
C42 0.1uF CAPC1005X60 21.200 17.000 270 Top
C44 0R C0402 6.100 32.950 90 Top
D1 MBR120 SOD-123 11.500 15.100 180 Top
D2 MBR120 SOD-123 22.600 18.600 270 Top
J1 Y5B-04 Y5B-04 2.000 23.500 270 Top
J2 USB4105-GF-A GCT_USB4105-GF-A 6.350 12.230 270 Top
J3 Y5B-04 Y5B-04 2.000 27.700 270 Top
J4 693043020611 SIMHOLDER-NANO 26.000 35.070 180 Top
J5 U.FLFLS U.FLS 52.245 31.950 180 Top
J6 U.FLFLS U.FLS 52.245 26.750 180 Top
J7 U.FL U.FL 43.400 17.100 270 Top
J8 532610271 CON_532610271 50.950 11.425 90 Top
J10 U.FLFLS U.FLS 1.855 32.450 0 Top
J11 Y5B-04 Y5B-04 45.900 1.925 0 Top
L1 DNM INDC1608X95N 18.400 21.392 90 Top
L2 2.2uH INDC2016X200 22.280 10.475 90 Top
L3 47nH L0402 47.700 33.450 90 Top
L4 DNM L0402 49.200 33.950 180 Top
L5 DNM L0402 49.000 28.750 180 Top
L6 DNM L0402 49.200 31.950 0 Top
L7 DNM L0402 49.000 26.750 0 Top
L8 120@100MHz L0603 42.200 25.800 270 Top
L9 DNM L0402 41.500 22.000 90 Top
L10 0R L0402 43.400 21.300 90 Top
L11 DNM L0402 42.900 19.800 0 Top
L12 DNM L0402 6.100 34.950 270 Top
L13 DNM L0402 5.100 32.950 270 Top
LED1 RED CHIPLED_0603 2.400 19.000 270 Top
LED2 GREEN CHIPLED_0603 2.400 20.400 90 Top
M1 MS88SF3-1Y40AIR MS88SF3 13.540 30.065 0 Top
